검색 키워드,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
Scoping,35090802,The association between patient-reported outcomes (PROs) and patient participation in chronic care: A scoping review,"Eriksen J, Bygholm A, Bertelsen P.",Patient Educ Couns. 2022 Jul;105(7):1852-1864. doi: 10.1016/j.pec.2022.01.008. Epub 2022 Jan 22.,Eriksen J,Patient Educ Couns,2022,2022/01/29,,,10.1016/j.pec.2022.01.008
Scoping,36868003,Intervention studies to encourage HPV vaccination using narrative: A scoping review,"Okuhara T, Kagawa Y, Okada H, Tsunezumi A, Kiuchi T.",Patient Educ Couns. 2023 Jun;111:107689. doi: 10.1016/j.pec.2023.107689. Epub 2023 Feb 28.,Okuhara T,Patient Educ Couns,2023,2023/03/03,,,10.1016/j.pec.2023.107689
Scoping,34521560,Public health education by emergency nurses: A scoping review and narrative synthesis,"Coombs NM, Porter JE, Barbagallo M, Plummer V.",Patient Educ Couns. 2022 May;105(5):1181-1187. doi: 10.1016/j.pec.2021.08.036. Epub 2021 Sep 2.,Coombs NM,Patient Educ Couns,2022,2021/09/15,,,10.1016/j.pec.2021.08.036
Scoping,33741233,The use of video for patient information and education: A scoping review of the variability and effectiveness of interventions,"Chatterjee A, Strong G, Meinert E, Milne-Ives M, Halkes M, Wyatt-Haines E.",Patient Educ Couns. 2021 Sep;104(9):2189-2199. doi: 10.1016/j.pec.2021.02.009. Epub 2021 Feb 24.,Chatterjee A,Patient Educ Couns,2021,2021/03/20,,,10.1016/j.pec.2021.02.009
Scoping,32534814,A systematic scoping review of psychosocial and psychological factors associated with patient activation,"Golubinski V, Oppel EM, Schreyögg J.",Patient Educ Couns. 2020 Oct;103(10):2061-2068. doi: 10.1016/j.pec.2020.05.005. Epub 2020 May 24.,Golubinski V,Patient Educ Couns,2020,2020/06/15,,,10.1016/j.pec.2020.05.005
Scoping,29402571,Health economic evaluations of patient education interventions a scoping review of the literature,"Stenberg U, Vågan A, Flink M, Lynggaard V, Fredriksen K, Westermann KF, Gallefoss F.",Patient Educ Couns. 2018 Jun;101(6):1006-1035. doi: 10.1016/j.pec.2018.01.006. Epub 2018 Jan 12.,Stenberg U,Patient Educ Couns,2018,2018/02/07,,,10.1016/j.pec.2018.01.006
Scoping,40543213,Integrating theoretical and practical constructs in patient education: A comprehensive scoping review,"Yousefiazar A, Ghahramanian A, Rahmani A, Feizollahzadeh H, Sadeghi MRT, Ghaffarifar S, Parizad R.",Patient Educ Couns. 2025 Oct;139:109226. doi: 10.1016/j.pec.2025.109226. Epub 2025 Jun 16.,Yousefiazar A,Patient Educ Couns,2025,2025/06/21,,,10.1016/j.pec.2025.109226
Scoping,31542185,Patient-reported quality of care in anthroposophic and integrative medicine: A scoping review,"Koster EB, Baars EW, Delnoij DMJ.",Patient Educ Couns. 2020 Feb;103(2):276-285. doi: 10.1016/j.pec.2019.09.010. Epub 2019 Sep 10.,Koster EB,Patient Educ Couns,2020,2019/09/23,,,10.1016/j.pec.2019.09.010
Scoping,35691792,Methods to elicit and evaluate the attainment of patient goals in older adults: A scoping review,"Damiaens A, Maes E, Van Roosbroek H, Van Hecke A, Foulon V.",Patient Educ Couns. 2022 Oct;105(10):3051-3061. doi: 10.1016/j.pec.2022.06.002. Epub 2022 Jun 6.,Damiaens A,Patient Educ Couns,2022,2022/06/12,,,10.1016/j.pec.2022.06.002
Scoping,37604024,A Parkinson care-coordinator may make a difference: A scoping review on multi-sectoral integrated care initiatives for people living with Parkinson's disease and their caregivers,"Vester LB, Haahr A, Nielsen TL, Bartolomeu S, Portillo MC.",Patient Educ Couns. 2023 Nov;116:107931. doi: 10.1016/j.pec.2023.107931. Epub 2023 Aug 9.,Vester LB,Patient Educ Couns,2023,2023/08/21,,,10.1016/j.pec.2023.107931
Scoping,34666931,"Patient involvement in clinical pathway development, implementation and evaluation - A scoping review of international literature","Wind A, van der Linden C, Hartman E, Siesling S, van Harten W.",Patient Educ Couns. 2022 Jun;105(6):1441-1448. doi: 10.1016/j.pec.2021.10.007. Epub 2021 Oct 8.,Wind A,Patient Educ Couns,2022,2021/10/20,,,10.1016/j.pec.2021.10.007
Scoping,33583649,Training interventions for healthcare providers offering group-based patient education. A scoping review,"Kristjansdottir OB, Vågan A, Svavarsdóttir MH, Børve HB, Hvinden K, Duprez V, Van Hecke A, Heyn L, Strømme H, Stenberg U.",Patient Educ Couns. 2021 May;104(5):1030-1048. doi: 10.1016/j.pec.2020.12.006. Epub 2020 Dec 17.,Kristjansdottir OB,Patient Educ Couns,2021,2021/02/15,,,10.1016/j.pec.2020.12.006
Scoping,34953620,Towards effective dietary counseling: a scoping review,"Barkmeijer A, Molder HT, Janssen M, Jager-Wittenaar H.",Patient Educ Couns. 2022 Jul;105(7):1801-1817. doi: 10.1016/j.pec.2021.12.011. Epub 2021 Dec 18.,Barkmeijer A,Patient Educ Couns,2022,2021/12/26,,,10.1016/j.pec.2021.12.011
Scoping,36502561,Methods to assess adults' learning styles and factors affecting learning in health education: A scoping review,"Muijsenberg AJL, Houben-Wilke S, Zeng Y, Spruit MA, Janssen DJA.",Patient Educ Couns. 2023 Feb;107:107588. doi: 10.1016/j.pec.2022.107588. Epub 2022 Dec 5.,Muijsenberg AJL,Patient Educ Couns,2023,2022/12/11,,,10.1016/j.pec.2022.107588
Scoping,38331626,Shared decision-making training embedded in undergraduate and postgraduate medical education: A scoping review,"Xiao L, Huang C, Bai Y, Ding J.",Patient Educ Couns. 2024 Jun;123:108186. doi: 10.1016/j.pec.2024.108186. Epub 2024 Feb 3.,Xiao L,Patient Educ Couns,2024,2024/02/08,,,10.1016/j.pec.2024.108186
Scoping,35000833,The use of virtual reality in patient education related to medical somatic treatment: A scoping review,"van der Linde-van den Bor M, Slond F, Liesdek OCD, Suyker WJ, Weldam SWM.",Patient Educ Couns. 2022 Jul;105(7):1828-1841. doi: 10.1016/j.pec.2021.12.015. Epub 2021 Dec 29.,van der Linde-van den Bor M,Patient Educ Couns,2022,2022/01/10,,,10.1016/j.pec.2021.12.015
Scoping,39461033,Patient education in ethnic minority and migrant patients with heart disease: A scoping review,"Zhang L, Ghisi GLM, Shi W, Pakosh M, Main E, Gallagher R.",Patient Educ Couns. 2025 Jan;130:108480. doi: 10.1016/j.pec.2024.108480. Epub 2024 Oct 23.,Zhang L,Patient Educ Couns,2025,2024/10/26,,,10.1016/j.pec.2024.108480
Scoping,35725526,The use of artificial intelligence and virtual reality in doctor-patient risk communication: A scoping review,"Antel R, Abbasgholizadeh-Rahimi S, Guadagno E, Harley JM, Poenaru D.",Patient Educ Couns. 2022 Oct;105(10):3038-3050. doi: 10.1016/j.pec.2022.06.006. Epub 2022 Jun 12.,Antel R,Patient Educ Couns,2022,2022/06/20,,,10.1016/j.pec.2022.06.006
Scoping,27461944,A scoping review of the literature on benefits and challenges of participating in patient education programs aimed at promoting self-management for people living with chronic illness,"Stenberg U, Haaland-Øverby M, Fredriksen K, Westermann KF, Kvisvik T.",Patient Educ Couns. 2016 Nov;99(11):1759-1771. doi: 10.1016/j.pec.2016.07.027. Epub 2016 Jul 18.,Stenberg U,Patient Educ Couns,2016,2016/07/28,,,10.1016/j.pec.2016.07.027
Scoping,39368437,Patient education for the management of subacromial pain syndrome: A scoping review,"Montpetit-Tourangeau K, McGlashan B, Dyer JO, Rochette A.",Patient Educ Couns. 2025 Jan;130:108453. doi: 10.1016/j.pec.2024.108453. Epub 2024 Sep 25.,Montpetit-Tourangeau K,Patient Educ Couns,2025,2024/10/05,,,10.1016/j.pec.2024.108453
Scoping,38461792,Consumer attitudes and preferences toward psychiatric genetic counselling and educational resources: A scoping review,"Gatt-Rutter T, Forrest L, Sexton A, Isbister J.",Patient Educ Couns. 2024 Jun;123:108229. doi: 10.1016/j.pec.2024.108229. Epub 2024 Mar 7.,Gatt-Rutter T,Patient Educ Couns,2024,2024/03/10,,,10.1016/j.pec.2024.108229
Scoping,35577636,Communication methods between physicians and Deaf patients: A scoping review,"Yet AXJ, Hapuhinne V, Eu W, Chong EY, Palanisamy UD.",Patient Educ Couns. 2022 Sep;105(9):2841-2849. doi: 10.1016/j.pec.2022.05.001. Epub 2022 May 4.,Yet AXJ,Patient Educ Couns,2022,2022/05/16,,,10.1016/j.pec.2022.05.001
Scoping,35985907,Physician-directed information prescription service. A scoping review,"Okhovati M, Bagherinezhad Z, Gavgani VZ, Safizadeh H.",Patient Educ Couns. 2022 Dec;105(12):3369-3380. doi: 10.1016/j.pec.2022.08.002. Epub 2022 Aug 4.,Okhovati M,Patient Educ Couns,2022,2022/08/19,,,10.1016/j.pec.2022.08.002
Scoping,32451221,Tools to Measure Health Literacy among US African Americans and Hispanics/Latinos with Type 2 Diabetes: A Scoping Review of the Literature,"Estrella ML, Allen-Meares P.",Patient Educ Couns. 2020 Oct;103(10):2155-2165. doi: 10.1016/j.pec.2020.04.012. Epub 2020 Apr 19.,Estrella ML,Patient Educ Couns,2020,2020/05/27,PMC7508870,NIHMS1597310,10.1016/j.pec.2020.04.012
Scoping,34120817,A patient-centered gout information value chain: a scoping review,"Russell MJ, Kim S, Lenert A.",Patient Educ Couns. 2022 Jan;105(1):30-43. doi: 10.1016/j.pec.2021.06.007. Epub 2021 Jun 8.,Russell MJ,Patient Educ Couns,2022,2021/06/14,PMC8651807,NIHMS1715179,10.1016/j.pec.2021.06.007
Scoping,34686381,Developing a question prompt list for the oncology setting: A scoping review,"Schulte-Vieting T, Siegle A, Jung C, Villalobos M, Thomas M.",Patient Educ Couns. 2022 Jul;105(7):1689-1702. doi: 10.1016/j.pec.2021.10.006. Epub 2021 Oct 8.,Schulte-Vieting T,Patient Educ Couns,2022,2021/10/23,,,10.1016/j.pec.2021.10.006
Scoping,37068426,The Use of Narrative in Science and Health Communication: A Scoping Review,"Dudley MZ, Squires GK, Petroske TM, Dawson S, Brewer J.",Patient Educ Couns. 2023 Jul;112:107752. doi: 10.1016/j.pec.2023.107752. Epub 2023 Apr 13.,Dudley MZ,Patient Educ Couns,2023,2023/04/17,,,10.1016/j.pec.2023.107752
Scoping,28882546,Patient-centered communication between adolescent and young adult cancer survivors and their healthcare providers: Identifying research gaps with a scoping review,"Gorman JR, Standridge DC, Lyons KS, Elliot DL, Winters-Stone K, Julian AK, Weprin J, Storksdieck M, Hayes-Lattin B.",Patient Educ Couns. 2018 Feb;101(2):185-194. doi: 10.1016/j.pec.2017.08.020. Epub 2017 Sep 1.,Gorman JR,Patient Educ Couns,2018,2017/09/09,,,10.1016/j.pec.2017.08.020
Scoping,37295044,Features of teleoncology in lung cancer: A scoping review,"Garavand A, Aslani N, Behmanesh A, Khara R, Ehsanzadeh SJ, Khodaveisi T.",Patient Educ Couns. 2023 Sep;114:107831. doi: 10.1016/j.pec.2023.107831. Epub 2023 May 29.,Garavand A,Patient Educ Couns,2023,2023/06/09,,,10.1016/j.pec.2023.107831
Scoping,36857803,Patient-related characteristics considered to affect patient involvement in shared decision making about treatment: A scoping review of the qualitative literature,"Keij SM, Lie HC, Laidsaar-Powell R, Kunneman M, de Boer JE, Moaddine S, Stiggelbout AM, Pieterse AH.",Patient Educ Couns. 2023 Jun;111:107677. doi: 10.1016/j.pec.2023.107677. Epub 2023 Feb 18.,Keij SM,Patient Educ Couns,2023,2023/03/01,,,10.1016/j.pec.2023.107677
Scoping,26519238,Empirical relationships between numeracy and treatment decision making: A scoping review of the literature,"Malloy-Weir LJ, Schwartz L, Yost J, McKibbon KA.",Patient Educ Couns. 2016 Mar;99(3):310-325. doi: 10.1016/j.pec.2015.10.002. Epub 2015 Oct 14.,Malloy-Weir LJ,Patient Educ Couns,2016,2015/11/01,,,10.1016/j.pec.2015.10.002
Scoping,36739706,Shared decision making with black patients: A scoping review,"Mhaimeed N, Mhaimeed N, Mhaimeed O, Alanni J, Burney Z, Elshafeey A, Laws S, Choi JJ.",Patient Educ Couns. 2023 May;110:107646. doi: 10.1016/j.pec.2023.107646. Epub 2023 Jan 25.,Mhaimeed N,Patient Educ Couns,2023,2023/02/05,,,10.1016/j.pec.2023.107646
Scoping,37597466,Exploring clinical management of cognitive and behavioural deficits in MND. A scoping review,"Francis R, Attrill S, Radakovic R, Doeltgen S.",Patient Educ Couns. 2023 Nov;116:107942. doi: 10.1016/j.pec.2023.107942. Epub 2023 Aug 15.,Francis R,Patient Educ Couns,2023,2023/08/19,,,10.1016/j.pec.2023.107942
Scoping,37399665,Patient-centered care outcomes for patients in the emergency department with a non-English language preference: A scoping review,"Schwei RJ, Hoang L, Wilson P, Greene MZ, Lor M, Shah MN, Pulia MS.",Patient Educ Couns. 2023 Sep;114:107875. doi: 10.1016/j.pec.2023.107875. Epub 2023 Jun 28.,Schwei RJ,Patient Educ Couns,2023,2023/07/03,,,10.1016/j.pec.2023.107875
Scoping,29102063,Video-based patient decision aids: A scoping review,"Winston K, Grendarova P, Rabi D.",Patient Educ Couns. 2018 Apr;101(4):558-578. doi: 10.1016/j.pec.2017.10.009. Epub 2017 Oct 18.,Winston K,Patient Educ Couns,2018,2017/11/06,,,10.1016/j.pec.2017.10.009
Scoping,40561808,"Insights into pediatric chronic disease education initiatives: Children, adolescents and families' perspectives. A scoping review","Eg M, Laursen HS, Christensen KL, Søndergaard SF.",Patient Educ Couns. 2025 Oct;139:109228. doi: 10.1016/j.pec.2025.109228. Epub 2025 Jun 19.,Eg M,Patient Educ Couns,2025,2025/06/25,,,10.1016/j.pec.2025.109228
Scoping,38387389,"Pain neuroscience education for patients with chronic pain: A scoping review from teaching-learning strategies, educational level, and cultural perspective","Salazar-Méndez J, Cuyul-Vásquez I, Ponce-Fuentes F, Guzmán-Muñoz E, Núñez-Cortés R, Huysmans E, Lluch-Girbés E, Viscay-Sanhueza N, Fuentes J.",Patient Educ Couns. 2024 Jun;123:108201. doi: 10.1016/j.pec.2024.108201. Epub 2024 Feb 10.,Salazar-Méndez J,Patient Educ Couns,2024,2024/02/22,,,10.1016/j.pec.2024.108201
Scoping,30981410,Do pain management websites foster self-management support for people with persistent pain? A scoping review,"Devan H, Perry MA, van Hattem A, Thurlow G, Shepherd S, Muchemwa C, Grainger R.",Patient Educ Couns. 2019 Sep;102(9):1590-1601. doi: 10.1016/j.pec.2019.04.009. Epub 2019 Apr 8.,Devan H,Patient Educ Couns,2019,2019/04/15,,,10.1016/j.pec.2019.04.009
Scoping,37141692,The diagnostic experience of polycystic ovary syndrome: A scoping review of patient perspectives,"Presswala B, De Souza LR.",Patient Educ Couns. 2023 Aug;113:107771. doi: 10.1016/j.pec.2023.107771. Epub 2023 Apr 23.,Presswala B,Patient Educ Couns,2023,2023/05/04,,,10.1016/j.pec.2023.107771
Scoping,37116222,Interventions targeting psychosocial adaptation in people with stroke: A scoping review,"Zhang Q, Chen S, Zhang Y, Ni J, Huang J, Wu Y, Li M.",Patient Educ Couns. 2023 Aug;113:107751. doi: 10.1016/j.pec.2023.107751. Epub 2023 Apr 17.,Zhang Q,Patient Educ Couns,2023,2023/04/28,,,10.1016/j.pec.2023.107751
Scoping,37348309,Humor-based interventions for patients undergoing hemodialysis: A scoping review,"Xie C, Li L, Li Y.",Patient Educ Couns. 2023 Sep;114:107837. doi: 10.1016/j.pec.2023.107837. Epub 2023 Jun 5.,Xie C,Patient Educ Couns,2023,2023/06/22,,,10.1016/j.pec.2023.107837
Scoping,41289740,Genetic counseling and testing for dementia - A scoping review of patient and relatives experiences and outcomes,"Chen G, Sexton A.",Patient Educ Couns. 2026 Feb;143:109424. doi: 10.1016/j.pec.2025.109424. Epub 2025 Nov 19.,Chen G,Patient Educ Couns,2026,2025/11/25,,,10.1016/j.pec.2025.109424
Scoping,38538384,Corrigendum to 'Patient-related characteristics considered to affect patient involvement in shared decision making about treatment: A scoping review of the qualitative literature' Patient Education and Counseling 111 (2023) 107677,"Keij SM, Lie HC, Laidsaar-Powell R, Kunneman M, de Boer JE, Moaddine S, Stiggelbout AM, Pieterse AH.",Patient Educ Couns. 2024 Jul;124:108257. doi: 10.1016/j.pec.2024.108257. Epub 2024 Mar 26.,Keij SM,Patient Educ Couns,2024,2024/03/27,,,10.1016/j.pec.2024.108257
Scoping,36689886,Teaching strategies for shared decision-making within the context of evidence-based healthcare practice: A scoping review,"Lehane E, Curtin C, Corrigan M.",Patient Educ Couns. 2023 Apr;109:107630. doi: 10.1016/j.pec.2023.107630. Epub 2023 Jan 13.,Lehane E,Patient Educ Couns,2023,2023/01/23,,,10.1016/j.pec.2023.107630
Scoping,37473604,Understanding barriers to participation in group chronic disease self-management (CDSM) programs: A scoping review,"Kessler D, McCutcheon T, Rajachandrakumar R, Lees J, Deyell T, Levy M, Liddy C.",Patient Educ Couns. 2023 Oct;115:107885. doi: 10.1016/j.pec.2023.107885. Epub 2023 Jul 13.,Kessler D,Patient Educ Couns,2023,2023/07/20,,,10.1016/j.pec.2023.107885
Scoping,40252460,Mapping the translation and psychometric characteristics of the Patient-Practitioner Oriented Scale: A scoping review,"Werner P, Eliyahu E, Krupat E.",Patient Educ Couns. 2025 Aug;137:108787. doi: 10.1016/j.pec.2025.108787. Epub 2025 Apr 14.,Werner P,Patient Educ Couns,2025,2025/04/19,,,10.1016/j.pec.2025.108787
Scoping,35753829,Empowerment in people with Parkinson's disease: A scoping review and qualitative interview study,"Kang E, Friz D, Lipsey K, Foster ER.",Patient Educ Couns. 2022 Oct;105(10):3123-3133. doi: 10.1016/j.pec.2022.06.003. Epub 2022 Jun 9.,Kang E,Patient Educ Couns,2022,2022/06/26,,,10.1016/j.pec.2022.06.003
Scoping,34872804,Prenatal counseling for extreme prematurity at the limit of viability: A scoping review,"De Proost L, Geurtzen R, Ismaili M'hamdi H, Reiss IKMI, Steegers EAPE, Joanne Verweij EJ.",Patient Educ Couns. 2022 Jul;105(7):1743-1760. doi: 10.1016/j.pec.2021.10.033. Epub 2021 Nov 6.,De Proost L,Patient Educ Couns,2022,2021/12/07,,,10.1016/j.pec.2021.10.033
Scoping,34579995,Learning the neurobiology of pain: A scoping review of pain education from an instructional design perspective,"Ziegler AM, Minkalis AL, Langdon ER, Vining R.",Patient Educ Couns. 2022 Jun;105(6):1379-1401. doi: 10.1016/j.pec.2021.09.021. Epub 2021 Sep 14.,Ziegler AM,Patient Educ Couns,2022,2021/09/28,,,10.1016/j.pec.2021.09.021
Scoping,35927111,Communication between persons with multiple sclerosis and their health care providers: A scoping review,"Thompson CM, Pulido MD, Babu S, Zenzola N, Chiu C.",Patient Educ Couns. 2022 Dec;105(12):3341-3368. doi: 10.1016/j.pec.2022.07.013. Epub 2022 Jul 26.,Thompson CM,Patient Educ Couns,2022,2022/08/04,,,10.1016/j.pec.2022.07.013
Scoping,34210570,The lived experience during the peri-diagnostic period of breast cancer: A scoping review,"Rogers CC, Pope S, Whitfield F, Cohn WF, Valdez RS.",Patient Educ Couns. 2022 Mar;105(3):547-585. doi: 10.1016/j.pec.2021.06.017. Epub 2021 Jun 17.,Rogers CC,Patient Educ Couns,2022,2021/07/02,,,10.1016/j.pec.2021.06.017
Scoping,32098746,How can we describe impact of adult patient participation in health-service development? A scoping review,"Sandvin Olsson AB, Strøm A, Haaland-Øverby M, Fredriksen K, Stenberg U.",Patient Educ Couns. 2020 Aug;103(8):1453-1466. doi: 10.1016/j.pec.2020.02.028. Epub 2020 Feb 20.,Sandvin Olsson AB,Patient Educ Couns,2020,2020/02/27,,,10.1016/j.pec.2020.02.028
Scoping,40840059,COVID-19 misinformation and healthcare workers: A scoping review,"Holzer H, Diviani N, Rubinelli S.",Patient Educ Couns. 2025 Dec;141:109309. doi: 10.1016/j.pec.2025.109309. Epub 2025 Aug 16.,Holzer H,Patient Educ Couns,2025,2025/08/21,,,10.1016/j.pec.2025.109309
Scoping,33143907,Combining mHealth and health-coaching for improving self-management in chronic care. A scoping review,"Obro LF, Heiselberg K, Krogh PG, Handberg C, Ammentorp J, Pihl GT, Osther PJS.",Patient Educ Couns. 2021 Apr;104(4):680-688. doi: 10.1016/j.pec.2020.10.026. Epub 2020 Oct 21.,Obro LF,Patient Educ Couns,2021,2020/11/04,,,10.1016/j.pec.2020.10.026
Scoping,30772114,A scoping review of consumer needs for cancer information,"Jo HS, Park K, Jung SM.",Patient Educ Couns. 2019 Jul;102(7):1237-1250. doi: 10.1016/j.pec.2019.02.004. Epub 2019 Feb 8.,Jo HS,Patient Educ Couns,2019,2019/02/18,,,10.1016/j.pec.2019.02.004
Scoping,37126992,Child participation in triadic medical consultations: A scoping review and summary of promotive interventions,"van Woerden CS, Vroman H, Brand PLP.",Patient Educ Couns. 2023 Aug;113:107749. doi: 10.1016/j.pec.2023.107749. Epub 2023 Apr 11.,van Woerden CS,Patient Educ Couns,2023,2023/05/01,,,10.1016/j.pec.2023.107749
Scoping,35870992,Motivational interviewing to promote interconception health: A scoping review of evidence from clinical trials,"Gregory EF, Maddox AI, Levine LD, Fiks AG, Lorch SA, Resnicow K.",Patient Educ Couns. 2022 Nov;105(11):3204-3212. doi: 10.1016/j.pec.2022.07.009. Epub 2022 Jul 16.,Gregory EF,Patient Educ Couns,2022,2022/07/23,PMC9529865,NIHMS1826188,10.1016/j.pec.2022.07.009
Scoping,39437462,"A scoping review of decision regret in non-communicable diseases: The emerging roles of patient-clinician communication, psychological aspects, and medical outcomes","Brera AS, Arrigoni C, Magon A, Conte G, Belloni S, Bonavina L, Shabat G, Arcidiacono MA, Pasek M, Caruso R.",Patient Educ Couns. 2025 Jan;130:108478. doi: 10.1016/j.pec.2024.108478. Epub 2024 Oct 18.,Brera AS,Patient Educ Couns,2025,2024/10/22,,,10.1016/j.pec.2024.108478
Scoping,37348313,Identifying key roles and responsibilities of peer workers in behavioral health services: A scoping review,"Matthews EB, Rahman R, Schiefelbein F, Galis D, Clark C, Patel R.",Patient Educ Couns. 2023 Sep;114:107858. doi: 10.1016/j.pec.2023.107858. Epub 2023 Jun 17.,Matthews EB,Patient Educ Couns,2023,2023/06/22,,,10.1016/j.pec.2023.107858
Scoping,30642716,A scoping review of interventions to promote the adoption of shared decision-making (SDM) among health care professionals in clinical practice,"Siyam T, Shahid A, Perram M, Zuna I, Haque F, Archundia-Herrera MC, Vohra S, Olson K.",Patient Educ Couns. 2019 Jun;102(6):1057-1066. doi: 10.1016/j.pec.2019.01.001. Epub 2019 Jan 3.,Siyam T,Patient Educ Couns,2019,2019/01/16,,,10.1016/j.pec.2019.01.001
Scoping,31551158,Factors influencing communication about frailty in primary care: A scoping review,"Lawless MT, Archibald MM, Ambagtsheer RC, Kitson AL.",Patient Educ Couns. 2020 Mar;103(3):436-450. doi: 10.1016/j.pec.2019.09.014. Epub 2019 Sep 16.,Lawless MT,Patient Educ Couns,2020,2019/09/26,,,10.1016/j.pec.2019.09.014
Scoping,38199175,Conceptualizing negotiation in the clinical encounter - A scoping review using principles from critical interpretive synthesis,"Nilou FE, Christoffersen NB, Lian OS, Guassora AD, Broholm-Jørgensen M.",Patient Educ Couns. 2024 Apr;121:108134. doi: 10.1016/j.pec.2024.108134. Epub 2024 Jan 4.,Nilou FE,Patient Educ Couns,2024,2024/01/10,,,10.1016/j.pec.2024.108134
