검색 키워드,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
Systematic,27229509,Magnetic resonance imaging in pediatric appendicitis: a systematic review,"Moore MM, Kulaylat AN, Hollenbeak CS, Engbrecht BW, Dillman JR, Methratta ST.",Pediatr Radiol. 2016 May;46(6):928-39. doi: 10.1007/s00247-016-3557-3. Epub 2016 May 26.,Moore MM,Pediatr Radiol,2016,2016. 5. 28,,,10.1007/s00247-016-3557-3
Systematic,35953542,Publication timeline of chest imaging reporting in children with coronavirus disease 2019 (COVID-19): a systematic review spanning 2020,"Ramirez-Suarez KI, Miranda-Schaeubinger M, Rapp JB, Sodhi KS, Saul D, Andronikou S.",Pediatr Radiol. 2022 Sep;52(10):1998-2008. doi: 10.1007/s00247-022-05466-9. Epub 2022 Aug 12.,Ramirez-Suarez KI,Pediatr Radiol,2022,2022. 8. 11,PMC9371962,,10.1007/s00247-022-05466-9
Systematic,29748933,Common genitourinary catheters: a systematic approach for the radiologist,"Kim HH, Tulin-Silver S, Yu RN, Chow JS.",Pediatr Radiol. 2018 Aug;48(8):1155-1166. doi: 10.1007/s00247-018-4148-2. Epub 2018 May 10.,Kim HH,Pediatr Radiol,2018,2018. 5. 12,,,10.1007/s00247-018-4148-2
Systematic,26754537,Antenatal and postnatal radiologic diagnosis of holocarboxylase synthetase deficiency: a systematic review,"Bandaralage SP, Farnaghi S, Dulhunty JM, Kothari A.",Pediatr Radiol. 2016 Mar;46(3):357-64. doi: 10.1007/s00247-015-3492-8. Epub 2016 Jan 11.,Bandaralage SP,Pediatr Radiol,2016,2016. 1. 13,,,10.1007/s00247-015-3492-8
Systematic,41348237,Advances in FDG PET imaging for staging and prognostic assessment in pediatric lymphoma: a systematic review,"Ghazi FM, Shafiei S, SeyedAlinaghi S.",Pediatr Radiol. 2026 Jan;56(1):78-100. doi: 10.1007/s00247-025-06476-z. Epub 2025 Dec 5.,Ghazi FM,Pediatr Radiol,2026,2025. 12. 5,,,10.1007/s00247-025-06476-z
Systematic,41273412,Efficacy and safety of nonoperative management for pediatric intussusception in Sub-Saharan Africa: a systematic review and meta-analysis,"Molla YD, Setargew KH, Alemu HT.",Pediatr Radiol. 2026 Jan;56(1):101-111. doi: 10.1007/s00247-025-06474-1. Epub 2025 Nov 22.,Molla YD,Pediatr Radiol,2026,2025. 11. 22,,,10.1007/s00247-025-06474-1
Systematic,25820411,Data quality in diffusion tensor imaging studies of the preterm brain: a systematic review,"Pieterman K, Plaisier A, Govaert P, Leemans A, Lequin MH, Dudink J.",Pediatr Radiol. 2015 Aug;45(9):1372-81. doi: 10.1007/s00247-015-3307-y. Epub 2015 Mar 29.,Pieterman K,Pediatr Radiol,2015,2015. 3. 31,PMC4526590,,10.1007/s00247-015-3307-y
Systematic,39671007,Diagnostic performance of contrast-enhanced ultrasound in traumatic solid organ injuries in children: a systematic review and meta-analysis,"Jannatdoust P, Valizadeh P, Hassankhani A, Amoukhteh M, Ghadimi DJ, Heidari-Foroozan M, Sabeghi P, Adli P, Johnston JH, Vasavada PS, Gholamrezanezhad A.",Pediatr Radiol. 2025 Feb;55(2):226-241. doi: 10.1007/s00247-024-06127-9. Epub 2024 Dec 13.,Jannatdoust P,Pediatr Radiol,2025,2024. 12. 13,PMC11805793,,10.1007/s00247-024-06127-9
Systematic,35511256,Diagnostic accuracy of ultrasound for localising peripherally inserted central catheter tips in infants in the neonatal intensive care unit: a systematic review and meta-analysis,"Doyle SC, Bergin NM, Young R, England A, McEntee MF.",Pediatr Radiol. 2022 Nov;52(12):2421-2430. doi: 10.1007/s00247-022-05379-7. Epub 2022 May 5.,Doyle SC,Pediatr Radiol,2022,2022. 5. 5,PMC9616767,,10.1007/s00247-022-05379-7
Systematic,29260286,Bowel ultrasound for predicting surgical management of necrotizing enterocolitis: a systematic review and meta-analysis,"Cuna AC, Reddy N, Robinson AL, Chan SS.",Pediatr Radiol. 2018 May;48(5):658-666. doi: 10.1007/s00247-017-4056-x. Epub 2017 Dec 19.,Cuna AC,Pediatr Radiol,2018,2017. 12. 21,PMC5895673,,10.1007/s00247-017-4056-x
Systematic,38158439,Is there a skeletal age index that can predict accurate curve progression in adolescent idiopathic scoliosis? A systematic review,"Manzetti M, Ruffilli A, Barile F, Viroli G, Traversari M, Vita F, Cerasoli T, Arceri A, Artioli E, Mazzotti A, Faldini C.",Pediatr Radiol. 2024 Feb;54(2):299-315. doi: 10.1007/s00247-023-05834-z. Epub 2023 Dec 29.,Manzetti M,Pediatr Radiol,2024,2023. 12. 29,,,10.1007/s00247-023-05834-z
Systematic,28050636,Systematic radiographic evaluation of tibial hemimelia with orthopedic implications,"Kaplan-List K, Klionsky NB, Sanders JO, Katz ME.",Pediatr Radiol. 2017 Apr;47(4):473-483. doi: 10.1007/s00247-016-3730-8. Epub 2017 Jan 3.,Kaplan-List K,Pediatr Radiol,2017,2017. 1. 5,,,10.1007/s00247-016-3730-8
Systematic,32556807,Coronavirus disease 2019 (COVID-19) in children: a systematic review of imaging findings,"Shelmerdine SC, Lovrenski J, Caro-Domínguez P, Toso S; Collaborators of the European Society of Paediatric Radiology Cardiothoracic Imaging Taskforce.",Pediatr Radiol. 2020 Aug;50(9):1217-1230. doi: 10.1007/s00247-020-04726-w. Epub 2020 Jun 18.,Shelmerdine SC,Pediatr Radiol,2020,2020. 6. 20,PMC7300372,,10.1007/s00247-020-04726-w
Systematic,32734341,Magnetic resonance imaging for forensic age estimation in living children and young adults: a systematic review,"De Tobel J, Bauwens J, Parmentier GIL, Franco A, Pauwels NS, Verstraete KL, Thevissen PW.",Pediatr Radiol. 2020 Nov;50(12):1691-1708. doi: 10.1007/s00247-020-04709-x. Epub 2020 Jul 31.,De Tobel J,Pediatr Radiol,2020,2020. 8. 1,,,10.1007/s00247-020-04709-x
Systematic,23700196,Neuroimaging in childhood headache: a systematic review,"Alexiou GA, Argyropoulou MI.",Pediatr Radiol. 2013 Jul;43(7):777-84. doi: 10.1007/s00247-013-2692-3. Epub 2013 May 23.,Alexiou GA,Pediatr Radiol,2013,2013. 5. 24,,,10.1007/s00247-013-2692-3
Systematic,33090247,Correction to: early life ionizing radiation exposure and cancer risks: systematic review and meta-analysis,"Abalo KD, Rage E, Leuraud K, Richardson DB, Le Pointe HD, Laurier D, Bernier MO.",Pediatr Radiol. 2021 Jan;51(1):157-158. doi: 10.1007/s00247-020-04883-y.,Abalo KD,Pediatr Radiol,2021,2020. 10. 22,,,10.1007/s00247-020-04883-y
Systematic,24962050,Evidence-based outcomes on diagnostic accuracy of quantitative ultrasound for assessment of pediatric osteoporosis - a systematic review,"Wang KC, Wang KC, Amirabadi A, Cheung E, Uleryk E, Moineddin R, Doria AS.",Pediatr Radiol. 2014 Dec;44(12):1573-87. doi: 10.1007/s00247-014-3041-x. Epub 2014 Jun 25.,Wang KC,Pediatr Radiol,2014,2014. 6. 26,,,10.1007/s00247-014-3041-x
Systematic,40815377,A systematic review of radiation dose to the eye lens from pediatric brain computed tomography scans,"Perdomo AA, Forster JC, Badawy MK.",Pediatr Radiol. 2025 Nov;55(12):2508-2517. doi: 10.1007/s00247-025-06371-7. Epub 2025 Aug 15.,Perdomo AA,Pediatr Radiol,2025,2025. 8. 15,PMC12602571,,10.1007/s00247-025-06371-7
Systematic,29907939,Feasibility of quantitative ultrasonography for the detection of metabolic bone disease in preterm infants - systematic review,"Tong L, Gopal-Kothandapani JS, Offiah AC.",Pediatr Radiol. 2018 Oct;48(11):1537-1549. doi: 10.1007/s00247-018-4161-5. Epub 2018 Jun 16.,Tong L,Pediatr Radiol,2018,2018. 6. 17,PMC6153869,,10.1007/s00247-018-4161-5
Systematic,24821394,Systematic review of ablation techniques for the treatment of malignant or aggressive benign lesions in children,"Gómez FM, Patel PA, Stuart S, Roebuck DJ.",Pediatr Radiol. 2014 Oct;44(10):1281-9. doi: 10.1007/s00247-014-3001-5. Epub 2014 May 13.,Gómez FM,Pediatr Radiol,2014,2014. 5. 14,,,10.1007/s00247-014-3001-5
Systematic,29151119,Whole-body magnetic resonance imaging for detection of skeletal metastases in children and young people with primary solid tumors - systematic review,"Smets AM, Deurloo EE, Slager TJE, Stoker J, Bipat S.",Pediatr Radiol. 2018 Feb;48(2):241-252. doi: 10.1007/s00247-017-4013-8. Epub 2017 Nov 18.,Smets AM,Pediatr Radiol,2018,2017. 11. 20,PMC5790860,,10.1007/s00247-017-4013-8
Systematic,41060406,Alphabet soup: a systematic approach to understanding congenital chest lesions,"Boggs Z, Kucera JN.",Pediatr Radiol. 2025 Oct 8. doi: 10.1007/s00247-025-06392-2. Online ahead of print.,Boggs Z,Pediatr Radiol,2025,2025. 10. 8,,,10.1007/s00247-025-06392-2
Systematic,23519699,Accuracy of hepatobiliary scintigraphy for differentiation of neonatal hepatitis from biliary atresia: systematic review and meta-analysis of the literature,"Kianifar HR, Tehranian S, Shojaei P, Adinehpoor Z, Sadeghi R, Kakhki VR, Keshtgar AS.",Pediatr Radiol. 2013 Aug;43(8):905-19. doi: 10.1007/s00247-013-2623-3. Epub 2013 Mar 22.,Kianifar HR,Pediatr Radiol,2013,2013. 3. 23,,,10.1007/s00247-013-2623-3
Systematic,25820342,Magnetic resonance imaging acquisition techniques intended to decrease movement artefact in paediatric brain imaging: a systematic review,"Woodfield J, Kealey S.",Pediatr Radiol. 2015 Aug;45(9):1271-81. doi: 10.1007/s00247-015-3333-9. Epub 2015 Mar 28.,Woodfield J,Pediatr Radiol,2015,2015. 3. 31,,,10.1007/s00247-015-3333-9
Systematic,23877544,Balloon dilatation of anastomotic strictures secondary to surgical repair of oesophageal atresia: a systematic review,"Thyoka M, Timmis A, Mhango T, Roebuck DJ.",Pediatr Radiol. 2013 Aug;43(8):898-901; quiz 896-7. doi: 10.1007/s00247-013-2693-2. Epub 2013 Jul 23.,Thyoka M,Pediatr Radiol,2013,2013. 7. 24,,,10.1007/s00247-013-2693-2
Systematic,23478927,A systematic method for evaluation of pediatric sports injuries of the elbow,"Dwek JR, Chung CB.",Pediatr Radiol. 2013 Mar;43 Suppl 1:S120-8. doi: 10.1007/s00247-012-2585-x. Epub 2013 Mar 12.,Dwek JR,Pediatr Radiol,2013,2013. 3. 13,,,10.1007/s00247-012-2585-x
Systematic,25027192,An electronic tool for systematic reporting of fractures on skeletal surveys in suspected child abuse: prototype development and physician feedback,"Barber I, Bixby SD, Morris NB, Kleinman PL, Perez-Rossello JM, Chang PT, Kleinman PK.",Pediatr Radiol. 2014 Dec;44(12):1564-72. doi: 10.1007/s00247-014-3033-x. Epub 2014 Jun 11.,Barber I,Pediatr Radiol,2014,2014. 7. 17,,,10.1007/s00247-014-3033-x
Systematic,16532346,Pathological diagnosis of paediatric tumours from image-guided needle core biopsies: a systematic review,"Sebire NJ, Roebuck DJ.",Pediatr Radiol. 2006 May;36(5):426-31. doi: 10.1007/s00247-006-0123-4. Epub 2006 Mar 11.,Sebire NJ,Pediatr Radiol,2006,2006. 3. 15,,,10.1007/s00247-006-0123-4
Systematic,20432016,Systematic evaluation of bone dysplasias by the paediatric radiologist,Oestreich AE.,Pediatr Radiol. 2010 Jun;40(6):975-7. doi: 10.1007/s00247-010-1594-x. Epub 2010 Apr 30.,Oestreich AE,Pediatr Radiol,2010,2010. 5. 1,,,10.1007/s00247-010-1594-x
Systematic,16418835,Systematic assessment of constipation on plain abdominal radiographs in children,"van den Bosch M, Graafmans D, Nievelstein R, Beek E.",Pediatr Radiol. 2006 Mar;36(3):224-6. doi: 10.1007/s00247-005-0065-2. Epub 2006 Jan 18.,van den Bosch M,Pediatr Radiol,2006,2006. 1. 19,,,10.1007/s00247-005-0065-2
Systematic,38311683,Correction to: Is there a skeletal age index that can predict accurate curve progression in adolescent idiopathic scoliosis? A systematic review,"Manzetti M, Ruffilli A, Barile F, Viroli G, Traversari M, Vita F, Cerasoli T, Arceri A, Artioli E, Mazzotti A, Faldini C.",Pediatr Radiol. 2024 Apr;54(4):662. doi: 10.1007/s00247-024-05871-2.,Manzetti M,Pediatr Radiol,2024,2024. 2. 4,,,10.1007/s00247-024-05871-2
Systematic,24366603,Systematic protocol for assessment of the validity of BOLD MRI in a rabbit model of inflammatory arthritis at 1.5 tesla,"Chan MW, Nathanael G, Kis A, Amirabadi A, Zhong A, Rayner T, Weiss R, Detzler G, Jong R, Gahunia H, Moineddin R, Crawley A, Doria AS.",Pediatr Radiol. 2014 May;44(5):566-75. doi: 10.1007/s00247-013-2844-5. Epub 2013 Dec 24.,Chan MW,Pediatr Radiol,2014,2013. 12. 25,,,10.1007/s00247-013-2844-5
Systematic,2922224,Value of systematic post mortem radiographic examinations of fetuses--400 cases,"Kalifa G, Barbet JP, Labbe F, Houette A, Sellier N.",Pediatr Radiol. 1989;19(2):111-3. doi: 10.1007/BF02387898.,Kalifa G,Pediatr Radiol,1989,1989. 1. 1,,,10.1007/BF02387898
Systematic,15822331,The systematic evaluation of the chest radiograph in cystic fibrosis,"Chrispin AR, Norman AP.",Pediatr Radiol. 1974;2(2):101-5. doi: 10.1007/BF01314939.,Chrispin AR,Pediatr Radiol,1974,1974. 1. 1,,,10.1007/BF01314939
Systematic,6438600,Cost-benefit evaluation of systematic radiological diagnosis of congenital dislocated hip,"Fauré C, Schmit P, Salvat D.",Pediatr Radiol. 1984;14(6):407-12. doi: 10.1007/BF02343430.,Fauré C,Pediatr Radiol,1984,1984. 1. 1,,,10.1007/BF02343430
Scoping,33837798,Non-radiologist-performed abdominal point-of-care ultrasonography in paediatrics - a scoping review,"van Wassenaer EA, Daams JG, Benninga MA, Rosendahl K, Koot BGP, Stafrace S, Arthurs OJ, van Rijn RR.",Pediatr Radiol. 2021 Jul;51(8):1386-1399. doi: 10.1007/s00247-021-04997-x. Epub 2021 Apr 10.,van Wassenaer EA,Pediatr Radiol,2021,2021. 4. 10,PMC8266706,,10.1007/s00247-021-04997-x
Scoping,41579167,The current state of artificial intelligence research in pediatric radiology and recommendations for the future: a scoping review,"Kamran R, Widjaja E, Sy A, Bosso J, Choudhary L, Lawrynuik A, Jin YX, Chan C, Vaidya N, Larrigan S, Jackman L, Suk Y, Larrigan L, Lee A, Khanna G, Trout A, Sammer M, Otto R, Gee M, Morin C, Ho ML, Gaddam M, Otero H, Teixeira SR, Bedoya MA, Tsai A, Andronikou S, Chan S, Doria AS.",Pediatr Radiol. 2026 Jan 24. doi: 10.1007/s00247-025-06462-5. Online ahead of print.,Kamran R,Pediatr Radiol,2026,2026. 1. 24,,,10.1007/s00247-025-06462-5
Scoping,31451890,The current status of non-radiologist-performed abdominal ultrasonography in paediatrics - a scoping literature review protocol,"van Wassenaer EA, Daams JG, Benninga MA, Rosendahl K, Koot BGP, Stafrace S, Arthurs OJ, van Rijn RR.",Pediatr Radiol. 2019 Sep;49(10):1249-1252. doi: 10.1007/s00247-019-04452-y. Epub 2019 Aug 27.,van Wassenaer EA,Pediatr Radiol,2019,2019. 8. 28,PMC6710212,,10.1007/s00247-019-04452-y
Review,34981177,"2021 update on the urinary tract dilation (UTD) classification system: clarifications, review of the literature, and practical suggestions","Nguyen HT, Phelps A, Coley B, Darge K, Rhee A, Chow JS.",Pediatr Radiol. 2022 Apr;52(4):740-751. doi: 10.1007/s00247-021-05263-w. Epub 2022 Jan 4.,Nguyen HT,Pediatr Radiol,2022,2022. 1. 4,,,10.1007/s00247-021-05263-w
Review,34331566,Neonatal diagnosis of biliary atresia: a practical review and update,"Brahee DD, Lampl BS.",Pediatr Radiol. 2022 Apr;52(4):685-692. doi: 10.1007/s00247-021-05148-y. Epub 2021 Jul 31.,Brahee DD,Pediatr Radiol,2022,2021. 7. 31,,,10.1007/s00247-021-05148-y
Review,33904951,Pediatric hyperparathyroidism: review and imaging update,"Khalatbari H, Cheeney SHE, Manning SC, Parisi MT.",Pediatr Radiol. 2021 Jun;51(7):1106-1120. doi: 10.1007/s00247-021-05050-7. Epub 2021 Apr 27.,Khalatbari H,Pediatr Radiol,2021,2021. 4. 27,,,10.1007/s00247-021-05050-7
Review,28779199,Pediatric scrotal ultrasound: review and update,"Alkhori NA, Barth RA.",Pediatr Radiol. 2017 Aug;47(9):1125-1133. doi: 10.1007/s00247-017-3923-9. Epub 2017 Aug 4.,Alkhori NA,Pediatr Radiol,2017,2017. 8. 6,,,10.1007/s00247-017-3923-9
Review,37776490,Conflicting views of physicians and surgeons concerning pediatric urinary tract infection: a comparative review,"Hewitt IK, Roebuck DJ, Montini G.",Pediatr Radiol. 2023 Dec;53(13):2651-2661. doi: 10.1007/s00247-023-05771-x. Epub 2023 Sep 30.,Hewitt IK,Pediatr Radiol,2023,2023. 9. 30,PMC10698093,,10.1007/s00247-023-05771-x
Review,35790558,Pediatric cardiothoracic vasculitis: multimodality imaging review,"Zucker EJ, Chan FP.",Pediatr Radiol. 2022 Sep;52(10):1895-1909. doi: 10.1007/s00247-022-05431-6. Epub 2022 Jul 6.,Zucker EJ,Pediatr Radiol,2022,2022. 7. 5,PMC9256530,,10.1007/s00247-022-05431-6
Review,37964037,Pediatric focal calvarial lesions: an illustrated review,"McDermott T, Amarneh M, Sato Y, Watal P, Charmi V, Fuortes M, Faruqui S, Sato TS.",Pediatr Radiol. 2023 Dec;53(13):2699-2711. doi: 10.1007/s00247-023-05795-3. Epub 2023 Nov 15.,McDermott T,Pediatr Radiol,2023,2023. 11. 14,,,10.1007/s00247-023-05795-3
Review,39223383,"Imaging features of pediatric angiosarcomas: clinical, pathologic, and radiological review","Almushayqih M, Chami R, Malik A, Chavhan GB.",Pediatr Radiol. 2024 Oct;54(11):1873-1883. doi: 10.1007/s00247-024-06041-0. Epub 2024 Sep 3.,Almushayqih M,Pediatr Radiol,2024,2024. 9. 2,,,10.1007/s00247-024-06041-0
Review,38349519,Pre- and post-COVID-19 gender trends in authorship for paediatric radiology articles worldwide: a systematic review,"Kamran R, Jackman L, Chan C, Lee AC, Kamran A, Alli J, Jacklin C, Deck E, Suk Y, Jackman V, Garvilles M, Shelmerdine SC, Doria AS.",Pediatr Radiol. 2024 May;54(5):831-841. doi: 10.1007/s00247-024-05855-2. Epub 2024 Feb 13.,Kamran R,Pediatr Radiol,2024,2024. 2. 13,,,10.1007/s00247-024-05855-2
Review,35821441,Skin sonography in children: a review,"Garcia C, Wortsman X, Bazaes-Nuñez D, Pelizzari M, Gonzalez S, Cossio ML, De Barbieri F.",Pediatr Radiol. 2022 Aug;52(9):1687-1705. doi: 10.1007/s00247-022-05434-3. Epub 2022 Jul 12.,Garcia C,Pediatr Radiol,2022,2022. 7. 13,,,10.1007/s00247-022-05434-3
Review,37814104,Diagnostic accuracy of whole-body magnetic resonance imaging versus positron emission tomography-computed tomography for the staging of pediatric lymphoma: a systematic review and meta-analysis,"Bhalla D, Jana M, Kandasamy D.",Pediatr Radiol. 2023 Dec;53(13):2683-2691. doi: 10.1007/s00247-023-05775-7. Epub 2023 Oct 10.,Bhalla D,Pediatr Radiol,2023,2023. 10. 9,,,10.1007/s00247-023-05775-7
Review,35348809,Quantifying the contribution of (18)F-FDG PET to the diagnostic assessment of pediatric patients with fever of unknown origin: a systematic review and meta-analysis,"Li Q, Tian R, Wang H, Li L, Wu T, Ren Y, Su M, Zou K, Sun X.",Pediatr Radiol. 2022 Jul;52(8):1500-1511. doi: 10.1007/s00247-022-05333-7. Epub 2022 Mar 29.,Li Q,Pediatr Radiol,2022,2022. 3. 29,,,10.1007/s00247-022-05333-7
